(Percent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Biological sciences,Computer sciences,Mathematics and statistics,Physical sciences,Psychology,Social sciences,Engineering   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,4.88,10.16,6.92,5.34,7.91,9.17,4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,5.28,9.89,7.13,5.54,8.15,9.60,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,5.45,9.58,7.98,5.63,8.90,9.96,4.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,5.83,9.65,7.99,5.75,9.20,10.07,4.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,6.24,9.50,7.72,6.14,10.14,10.18,5.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,6.44,10.04,7.06,5.81,10.20,10.11,4.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,6.44,10.17,6.88,6.01,10.02,10.16,4.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,6.56,10.50,6.14,5.47,10.12,9.76,4.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,6.71,10.44,5.70,5.65,10.27,9.78,4.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,6.46,10.65,5.77,5.45,10.63,9.89,4.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,6.48,10.99,5.53,5.39,10.27,9.95,4.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,6.53,10.77,5.35,5.32,10.75,9.71,4.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,6.50,10.31,5.02,5.34,11.05,9.86,4.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,6.46,10.05,5.19,5.43,11.13,9.79,4.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,6.39,10.14,4.95,5.11,11.32,9.91,4.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,6.23,10.14,4.56,5.02,11.46,10.38,3.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,6.22,10.11,4.86,5.42,11.58,10.57,3.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,6.23,10.66,4.71,5.05,11.63,10.66,3.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,6.16,9.75,4.60,5.05,11.50,10.65,3.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA = not available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
