(Percent),,,,,,,,,,,,,,,,,,,,,,,,,
Year,Biological sciences,"Computer
sciences",Mathematics and statistics,Physical sciences,Psychology,"Social
sciences",Engineering,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1995,2.68,1.75,1.57,1.87,4.65,3.39,1.19,,,,,,,,,,,,,,,,,,
1996,2.79,1.86,1.71,1.93,5.03,3.66,1.32,,,,,,,,,,,,,,,,,,
1997,2.98,1.72,1.84,1.95,5.35,4.06,1.49,,,,,,,,,,,,,,,,,,
1998,3.26,1.85,2.36,2.25,5.54,4.20,1.55,,,,,,,,,,,,,,,,,,
1999,NA,1.80,NA,2.26,5.87,4.27,1.75,,,,,,,,,,,,,,,,,,
2000,3.64,1.85,2.33,2.70,6.29,4.64,1.66,,,,,,,,,,,,,,,,,,
2001,3.90,1.70,2.58,2.74,6.45,4.56,1.62,,,,,,,,,,,,,,,,,,
2002,3.93,1.70,2.71,2.72,6.64,4.87,1.74,,,,,,,,,,,,,,,,,,
2003,4.31,1.95,2.31,2.56,6.74,4.92,1.66,,,,,,,,,,,,,,,,,,
2004,4.16,1.77,2.26,2.83,6.88,4.94,1.72,,,,,,,,,,,,,,,,,,
2005,4.19,1.70,2.35,2.97,6.97,5.19,1.75,,,,,,,,,,,,,,,,,,
2006,4.04,1.65,2.59,2.86,7.30,5.19,1.72,,,,,,,,,,,,,,,,,,
2007,3.99,1.48,2.71,2.57,7.39,5.53,1.74,,,,,,,,,,,,,,,,,,
2008,4.31,1.42,2.66,2.88,7.49,5.72,1.76,,,,,,,,,,,,,,,,,,
2009,4.32,1.54,2.57,3.07,7.96,5.82,1.79,,,,,,,,,,,,,,,,,,
2010,4.48,1.47,2.44,2.97,8.36,6.05,1.81,,,,,,,,,,,,,,,,,,
2011,4.71,1.49,2.79,2.81,9.02,6.46,1.80,,,,,,,,,,,,,,,,,,
2012,5.02,1.65,2.95,3.01,9.52,6.86,1.93,,,,,,,,,,,,,,,,,,
2013,5.48,1.76,3.11,3.03,10.36,7.63,1.96,,,,,,,,,,,,,,,,,,
2014,5.94,1.79,3.51,3.33,11.57,8.15,2.08,,,,,,,,,,,,,,,,,,
NA = not available.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
